interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net
1h,15,3,3,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,1.363979228668642,0.0730485563092397,0.0622200985187607,1.1740347258886772,1.207817941092165,0.0444343086108494,0.0615950456451422,0.7213941989237529,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,,,,,,,,
1h,15,3,6,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,1.2935126528039074,0.0605654088442603,0.0641884915279138,0.9435555720751292,1.1630847067182577,0.0355529545624505,0.0637247634599145,0.5579142649123345,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,,,,,,,,
1h,15,3,9,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,1.2732537417213043,0.0568504856903521,0.0663625035982004,0.856665776724762,1.1487690435516298,0.0326384299455602,0.0660228400373588,0.4943505902971144,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,,,,,,,,
1h,15,3,12,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,1.3636892142040429,0.0729985137924276,0.07114518914215,1.0260498942040135,1.234554500774857,0.0495868565846537,0.0709377720119585,0.6990190864225967,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,,,,,,,,
1h,15,3,3,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.363979228668642,0.0730485563092397,0.0622200985187607,1.1740347258886772,1.207817941092165,0.0444343086108494,0.0615950456451422,0.7213941989237529
1h,15,3,6,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.2935126528039074,0.0605654088442603,0.0641884915279138,0.9435555720751292,1.1630847067182577,0.0355529545624505,0.0637247634599145,0.5579142649123345
1h,15,3,9,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.2732537417213043,0.0568504856903521,0.0663625035982004,0.856665776724762,1.1487690435516298,0.0326384299455602,0.0660228400373588,0.4943505902971144
1h,15,3,12,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.3636892142040429,0.0729985137924276,0.07114518914215,1.0260498942040135,1.234554500774857,0.0495868565846537,0.0709377720119585,0.6990190864225967
1h,15,3,15,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.34437038160694,0.0696408199717366,0.0710264139458815,0.9804918494801008,1.217065067343802,0.0462291627639626,0.0709295309176798,0.6517618566745609
1h,15,3,18,1.0480380401754164,0.0110417519908784,0.1031866898460396,0.1070075220685279,,,,,,,,,ee_macd_peak,2018-08-11-00:00,2018-10-15-00:00,1.3167477224649564,0.0647551064773042,0.0690924288387166,0.9372243466568952,1.19611940503237,0.0421438478065481,0.0690704973989773,0.6101570047065009
