interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9695525728291243,-0.0011950456738727313,0.0399600819188402,-0.02990598658681169,0.0667519444612867,-0.10461369396878972,0.043026007083983825,-2.431406050870371,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,4,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9107983562751348,-0.0036111095475456563,0.04077855929851702,-0.08855412279552946,0.11804705684817657,-0.08257997254490534,0.04330816487289084,-1.906799163328139,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,6,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.894663988048401,-0.0043018930744333885,0.0399418956145603,-0.10770377840718179,0.14637743965209865,-0.07426639965844516,0.04225052151552579,-1.7577629102437116,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,8,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9498702515512605,-0.0019877071765971627,0.03901249338943935,-0.05095052902040948,0.18265882814255602,-0.06570831697762994,0.041162749411845986,-1.596305346861017,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,10,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0037342253717885,0.00014405481980718073,0.03920052454077816,0.0036748186789523287,0.22114598737426397,-0.058318536637664335,0.041210362675633445,-1.4151425236581692,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,12,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0209525326315254,0.0008014249440496552,0.03936703373064752,0.020357768114638013,0.24077304014954504,-0.05503215734164123,0.04127332835828321,-1.3333588428808345,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,14,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0223817404945281,0.0008554907809401622,0.03928633927587368,0.021775782541936448,0.2524388675661192,-0.053203510313798746,0.0411432528078422,-1.2931284398509633,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,16,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0748055977209632,0.00278812252778097,0.03929228928635252,0.07095851573986489,0.28844431102628915,-0.04805034233152661,0.04106894400073449,-1.1699921558895514,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,18,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0383923450334005,0.001456046028678108,0.039366397702040964,0.03698702735512472,0.29028107388161156,-0.04780501332756112,0.04111749458710868,-1.1626441204068192,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,20,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0404150495942228,0.0015312576965348242,0.0394087771372959,0.03885575264617038,0.29684276026498385,-0.04694109890817022,0.0411431070111263,-1.140922558315199,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,22,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0526254783278146,0.00198220426254719,0.03941494860565711,0.05029067226191156,0.3075625157800547,-0.04556999913203465,0.041108440922610734,-1.1085314380524205,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,24,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0525158518496434,0.0019781789362861785,0.03938264793299597,0.05022970877051668,0.3149400293550584,-0.044653871248172425,0.04106713707783216,-1.0873383056516097,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,26,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0238025675846345,0.0009091647152939855,0.03940718238806787,0.02307104086612577,0.3063482703108499,-0.04572288546916464,0.04107511164454534,-1.113153041794264,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,28,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9978712750947959,-8.236052087338089e-05,0.03940443550609019,-0.002090133250624833,0.29960622879678955,-0.04658296024674302,0.04106854910843934,-1.13427333709168,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,30,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.008831007602683,0.0003398102969053792,0.039436831004534434,0.008616572078682182,0.30600324750844105,-0.04576643805319716,0.04109420485097855,-1.1136956711819028,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,32,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0256010759913292,0.000976999423526972,0.03926826380450209,0.024880127840410392,0.31642557267153265,-0.04447199663363034,0.04090198066782244,-1.0872822271078044,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,34,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9924342374280588,-0.00029351998825163716,0.039372856682561255,-0.007454881687099959,0.30828262108827736,-0.04547961512823092,0.040998934151112075,-1.109287742959467,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,36,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0059977354102034,0.00023111335408478056,0.03944750296743366,0.00585875750552776,0.31677631508428605,-0.044429179951538354,0.04105855733535319,-1.082093060130072,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,2,38,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9914807913228112,-0.00033066837829595223,0.03949888243895096,-0.008371588203970826,0.31273648712646973,-0.04492523645462459,0.04111428524774404,-1.0926916565353562,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,2,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9107983562751348,-0.0036111095475456563,0.04077855929851702,-0.08855412279552946,0.11804705684817657,-0.08257997254490534,0.04330816487289084,-1.906799163328139,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,4,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,0.9086913024439468,-0.0037006239909164788,0.03962619243246147,-0.0933883313978195,0.1879967645113021,-0.06459504893228514,0.04166986656309609,-1.5501621257768121,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,6,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0019630791083256,7.579643128750581e-05,0.03926435134105935,0.0019304134335270244,0.2616778644618573,-0.05181427209673239,0.041028005562978136,-1.2629000943562148,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,8,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0827578971505765,0.00307302616075131,0.03922547044052326,0.07834262091033103,0.31852614417649616,-0.04421627631665242,0.04084521387026491,-1.08253261831594,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,10,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.111205657437924,0.0040753542314835665,0.03912246798033791,0.10416914989953471,0.3663455971603743,-0.038810357883187555,0.04059079483603662,-0.9561369280882278,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,12,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.126170107785102,0.004592359772689157,0.03935000111385711,0.11670545470637757,0.3947192488455176,-0.03592724408737937,0.040754498469737166,-0.8815528453639948,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,14,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.09696272943415,0.003576768327971081,0.03939088558561285,0.09080192726810545,0.4018634108553493,-0.03523397957044006,0.04073939544342191,-0.8648626025727931,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,16,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.0557989208523748,0.002098547143372382,0.03892534944921753,0.05391209515306142,0.40016471830324696,-0.0353976961691485,0.040279343469594726,-0.8788051919433297,GG,2018-12-16-00:00,2019-03-25-00:00
15m,16,4,18,1.2428873136486955,0.008403701858951668,0.05389031156076822,0.1559408660956695,1.035598498664484,0.0013519191546641413,0.03904359248523342,0.0346258904114791,0.403334882365298,-0.03509272048914448,0.040356660980481976,-0.8695645188811995,GG,2018-12-16-00:00,2019-03-25-00:00
