interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.7627157643756451,-0.01420918251112758,0.03411325803960697,-0.41652962301724755,0.10003811365635293,-0.12076810442674411,0.03765072118696645,-3.207590734504985,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,4,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.7672951799910387,-0.013895163995827067,0.03464697189231538,-0.40104988219501464,0.15474557289742705,-0.09788446913065713,0.03756928757679221,-2.6054385229046395,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,6,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.843030512384103,-0.008957247229415715,0.03442325083298708,-0.26020921942770653,0.21244622817772507,-0.08126030810225639,0.03698744378809186,-2.1969701006593545,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,8,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.848876555553591,-0.008594732483103313,0.03450079398497376,-0.24911694747797994,0.240143937998668,-0.07483165129628527,0.03689959395449575,-2.02798034549017,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,10,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8859794445745774,-0.006350597592515657,0.03418448575052161,-0.18577426142555778,0.2775643578050236,-0.06723503811776357,0.03642168908111124,-1.8460164757332063,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,12,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9291978686999869,-0.003852149137746475,0.034248804707210624,-0.11247543295826196,0.3201894523590537,-0.05974094326092287,0.036363104697034715,-1.6428999602389434,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,14,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9116204751200847,-0.004853981782994192,0.03429959514552293,-0.14151717425235483,0.32279713932918647,-0.059315448362721505,0.03637298755531878,-1.630755468533073,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,16,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9228115570465427,-0.00421393123563733,0.03431413402271157,-0.12280453392320044,0.3450342528346203,-0.055820742728466516,0.036301353089971976,-1.5377041894310726,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,18,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9297815593198684,-0.0038192073943179813,0.03414572854287645,-0.11185022423880166,0.360892786126029,-0.05346344351490478,0.03608745953580785,-1.481496458952883,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,20,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9295928323280676,-0.0038298563154221216,0.03418153179579108,-0.11204460754721672,0.370141925337897,-0.05213597286402538,0.03608536773648325,-1.4447953875585575,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,22,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9401054819262046,-0.0032399491588796306,0.03416698246287607,-0.09482690379227894,0.38204515012809404,-0.05047557004989605,0.03601252261312929,-1.4016116169405441,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,24,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.93984331792125,-0.003254579871503285,0.03407343623040254,-0.09551663206187982,0.3918066514179441,-0.04915208119053624,0.03589177480569931,-1.3694525126333765,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,26,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9461803165653228,-0.0029020657222119713,0.03390469977137729,-0.08559479192503944,0.40121369548487307,-0.04790748732658928,0.03570077972905454,-1.341917114701013,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,28,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9675406939484843,-0.0017309851713762131,0.033389629706318306,-0.051841999644837614,0.41166901381612864,-0.04655799083282235,0.03513894820613894,-1.3249682534518334,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,30,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9424688890557966,-0.0031082372441669005,0.03337141658966489,-0.0931407042855208,0.4023676538143232,-0.0477568269626819,0.03512719277339364,-1.3595400939312836,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,32,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8990604980667712,-0.005581748699898263,0.0333022553578529,-0.16760872919623587,0.3831831513524047,-0.05031954638987896,0.03506763548562817,-1.4349284088601157,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,34,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8938260501891062,-0.005888056277342507,0.033459255353241596,-0.17597690729157428,0.3829006858362341,-0.050358230052926445,0.035199458427910085,-1.430653547015848,NN,2020-05-08-00:00,2020-07-20-00:00
