interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7701002293419916,-0.019054882232124797,0.045987322852888826,-0.41435076125393133,0.5494715384326896,-0.043677334169233716,0.04630505206908893,-0.9432520258062866,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,4,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8485702241658875,-0.011977195999288,0.048155636811746276,-0.24871846355412508,0.5812467700340981,-0.039576669833075145,0.048654187892278,-0.813427816752367,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,6,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8657166587650899,-0.010518010962823609,0.04904208448210387,-0.21446908454027427,0.6103850359011157,-0.03600876095313038,0.04958422397416842,-0.7262140670365163,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,8,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8715043208979527,-0.010031989698668945,0.04930724789147881,-0.20345872316273922,0.6165591493493202,-0.035274654530919165,0.04987871642314213,-0.7072085462598804,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,10,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8662162627532732,-0.010475928572512387,0.048823725792838106,-0.21456634868388288,0.6233285641765535,-0.03447816761448005,0.049402973065555446,-0.6978966138076169,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,12,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8093855298926947,-0.01542569391678318,0.0460833057192531,-0.334734969117862,0.5904111175422045,-0.03843559232652474,0.04668203761962367,-0.8233486429985571,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,14,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7745679213303215,-0.01863293824488102,0.0455149481457465,-0.4093806321653982,0.5737273348014601,-0.04052645344336827,0.04608796674861904,-0.879328299823133,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,16,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7599172753651008,-0.02002581543523969,0.04496160785885523,-0.4453981160572661,0.5676819683458989,-0.04129911773858568,0.045546371756128336,-0.9067487957046506,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,18,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7466445392634021,-0.02131107338663275,0.04522213406183262,-0.47125315575540805,0.5615738452782961,-0.04208820537386567,0.04580584806042167,-0.9188391254834508,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,20,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7525449597872113,-0.020736911665708506,0.04545727043736992,-0.4561847085446846,0.5747412595337538,-0.040397660441687085,0.04600913278095452,-0.8780356855239336,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,22,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7450337955757496,-0.021468601105420388,0.04538111785487746,-0.47307343054161877,0.5680379454154326,-0.041253392460427245,0.04593698488416595,-0.8980431032740006,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,24,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7253861603743343,-0.023417998159220434,0.045541073566130574,-0.5142170863674297,0.5568328362555177,-0.04270661919811429,0.0460846016146089,-0.9267004097215894,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,26,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7330527721541924,-0.022651122801915044,0.04568061376192872,-0.49585854778494703,0.5665588267690626,-0.04144357352469584,0.04622249378969367,-0.896610505552961,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,28,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7272294133562449,-0.023232883828427617,0.04573307715542835,-0.5080105095370772,0.5649328820830893,-0.041653206814123635,0.04625696120713598,-0.9004743443392876,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,30,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7276146115988558,-0.02319425838915038,0.045737488003083575,-0.5071170149875011,0.5633129440791186,-0.04186266653290294,0.046270142359290785,-0.9047447100516031,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,32,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7361948130721382,-0.022339145446721557,0.04567323485647765,-0.48910801954184957,0.5709257376015726,-0.04088351101144584,0.046197998006074006,-0.8849628290401366,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,34,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7320297008998052,-0.022752993536799698,0.04533568819507426,-0.5018781988903792,0.569629758210162,-0.041049273943467475,0.04585134689492534,-0.8952686610829017,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,36,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7430832728299319,-0.02165981512408772,0.045450446147836804,-0.4765589110750371,0.5762678004609204,-0.04020418068881199,0.045974961965588264,-0.8744799118899623,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,38,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7289696711092187,-0.023058543207095678,0.045682393368403594,-0.504757774426158,0.5672485924902668,-0.041354823613763435,0.046199809954369835,-0.8951297343995214,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,2,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8485702241658875,-0.011977195999288,0.048155636811746276,-0.24871846355412508,0.5812467700340981,-0.039576669833075145,0.048654187892278,-0.813427816752367,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,4,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.9477349210797211,-0.003915539319313974,0.048729670666800486,-0.08035226312296073,0.641489868548585,-0.032383311206298726,0.04942204378387367,-0.6552402273753265,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,6,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8832268588829904,-0.009057397174819347,0.04860056597073973,-0.18636402671261912,0.6195619281921647,-0.034920274902210696,0.04926204804222205,-0.7088677042473113,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,8,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7014415894472219,-0.0258663951971654,0.04611710098167688,-0.5608851087027904,0.5073385417027182,-0.04949650650204824,0.046765883487039486,-1.0583892104971246,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,10,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6894037733118924,-0.027129051824389724,0.04610473415803643,-0.5884222590113538,0.508911884073328,-0.049270652180933475,0.0467283791884,-1.0544053321918896,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,12,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6421920434610754,-0.032303512933836764,0.04684905273829163,-0.6895232890682076,0.4805540613674286,-0.05345277265815439,0.04744891101525543,-1.1265331809399932,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,14,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6376162598245377,-0.03282510138527498,0.044986852553893314,-0.7296598788713033,0.4820232773329292,-0.05323010563542308,0.04560904240421183,-1.1670954448828215,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,16,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6557342807946454,-0.030781348047427843,0.044704790010555044,-0.6885469776317079,0.5008040271373821,-0.05044209682340647,0.045310629652350644,-1.113250846665063,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,18,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6810730569003838,-0.02801584340566774,0.04421655735776172,-0.6336052619155316,0.5210413296102061,-0.04755254960261812,0.04481359212470113,-1.0611189004955326,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,20,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6767421899893725,-0.028481152122813293,0.044413919779711444,-0.6412663476693102,0.5212618287561613,-0.04752168800365057,0.04498906546565878,-1.0562941797474101,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,22,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6661617358906721,-0.029630559313181926,0.044926462946776206,-0.6595346566295429,0.5157366587963952,-0.048298967456934454,0.045497008892724955,-1.061585555455219,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,24,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.671235658897053,-0.029077093191047544,0.04482476056761691,-0.6486837369088799,0.5223228041288192,-0.04737337359771528,0.045392206989409774,-1.0436455228706487,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,26,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7139830717856473,-0.024573750890520666,0.04435665776878683,-0.5540036631843096,0.5565323724270258,-0.0427459887181602,0.04493023752001529,-0.9513857722011358,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,28,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7316473882995075,-0.02279109826830531,0.04415194024590298,-0.5161969811829545,0.5712719398077366,-0.0408392935169166,0.04472452827657231,-0.913129664875842,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,30,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7025166861795529,-0.025754683413861217,0.04371230208141506,-0.5891861601315939,0.5522705786159964,-0.04330670834635944,0.04426722577697634,-0.9783018381261094,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,32,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7171555317723739,-0.02425036525347959,0.04349497713836134,-0.5575440395413257,0.5647382002541687,-0.04167834760694957,0.04405360660431142,-0.9460825303431708,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,34,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7168534302343569,-0.02428109837239048,0.04364103768768904,-0.556382241553346,0.5654610950370772,-0.0415850381468322,0.044193940832706134,-0.9409669597977288,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,36,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7242162859235597,-0.02353573055901751,0.04370454210110998,-0.5385190972729529,0.5693293200553353,-0.04108775549151572,0.04427189553595951,-0.9280776211206612,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,4,38,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.7262960407611063,-0.02332656191741164,0.043706892683287965,-0.5337044224681505,0.5719360734727528,-0.04075454427088155,0.04426334518597374,-0.9207289711080385,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,2,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8657166587650899,-0.010518010962823609,0.04904208448210387,-0.21446908454027427,0.6103850359011157,-0.03600876095313038,0.04958422397416842,-0.7262140670365163,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,4,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.8832268588829904,-0.009057397174819347,0.04860056597073973,-0.18636402671261912,0.6195619281921647,-0.034920274902210696,0.04926204804222205,-0.7088677042473113,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,6,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6815509829641203,-0.0279646763713411,0.046011143526438744,-0.6077805120247044,0.49295206756355026,-0.05159478767622392,0.046662813029191244,-1.1056938989929164,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,8,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6584990802418662,-0.030474447723761712,0.04681949592008524,-0.6508922645339371,0.4877544136187676,-0.05236796292224896,0.04744500507230619,-1.1037613515361666,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,6,10,0.6172342276718868,-0.035187801565633066,0.06510793074568187,-0.5404533850581147,0.6548933905467363,-0.030874945838958112,0.04593171681457755,-0.6721922884702449,0.4900585141070735,-0.05202420556327582,0.046596518131041154,-1.1164826826109762,C,2018-05-06-00:00,2018-06-28-00:00
