interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.9220520602517107,-0.00826711171546172,0.06647963600137895,-0.12435555025136179,0.7053974996894501,-0.03555197853364166,0.06680704502923164,-0.5321591236086819,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,4,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7804114993417942,-0.025257015442537386,0.06794900746817595,-0.3717054359383624,0.5859736543094968,-0.054447492006749164,0.06846748630086355,-0.7952313564936945,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,6,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.674596685188114,-0.04010011124490377,0.06943778932367542,-0.5774969456182167,0.5134604866578326,-0.06790468981200162,0.06991974509331975,-0.9711804544105719,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,8,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7348689569077475,-0.03138236847306403,0.07214194520694105,-0.4350086261611451,0.5669974714133852,-0.057801049043047996,0.07263411709883148,-0.7957837356844237,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,10,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.6932649842045024,-0.037319337930592944,0.07317435732248816,-0.5100056808988721,0.5413028716575718,-0.0625253577531022,0.07364938281181233,-0.8489596975016878,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,12,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7475895171268381,-0.029634090795373942,0.07442017427385156,-0.3981996963125393,0.5887040393981062,-0.05397392436968693,0.0748659379639428,-0.7209410025114766,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,14,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7552053664852811,-0.028601570951103078,0.07530562173050491,-0.3798065840749458,0.6038732953440383,-0.05138226927866292,0.07572108451254538,-0.6785728124397105,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,16,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7308433307225296,-0.03194194805518968,0.0756079014298972,-0.4224683855933482,0.587382080850031,-0.05420293463383183,0.07604380338748203,-0.7127856869236299,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,18,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7414449989739303,-0.030474830550214178,0.07605030805016144,-0.4007193571144185,0.5928703035182561,-0.05325552887777404,0.076495616469921,-0.6961905967345823,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,20,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7711376824304943,-0.02647481046571593,0.07644717775619045,-0.34631507980779686,0.6208216883190685,-0.04856255979471881,0.07688443187421068,-0.6316305994713103,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,22,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.751672112909621,-0.029079291269060337,0.07625905139470866,-0.3813224887698779,0.6082456910302251,-0.0506473288491455,0.07670808746558166,-0.6602606129617111,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,24,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7911823524244176,-0.023860670769437507,0.07547237615022444,-0.31615104739704886,0.6402169887858686,-0.04542870834952264,0.0759294946786125,-0.5983012074795068,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,26,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7730120383080958,-0.026227502041397992,0.07552681373243333,-0.3472608037499557,0.6276448343915648,-0.04744906512220464,0.07597814200106982,-0.6245094164257995,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,28,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7625637230296346,-0.027613803802457454,0.07534947911195221,-0.3664763728682134,0.6191613557552245,-0.0488353668832641,0.07579484879735242,-0.6443098397601126,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,30,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7778522851173116,-0.02559162790039654,0.07494195855888093,-0.3414859765146053,0.6337265935848858,-0.04646671648192472,0.07537891903021636,-0.6164417993749431,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,32,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7969738030248601,-0.023117699309862356,0.07433660378215422,-0.31098675664023484,0.6537369671527332,-0.043299838892833634,0.07477016145042005,-0.5791058632599807,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,34,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.781147201429666,-0.025161026820297208,0.0752487319033081,-0.33437143967592997,0.6440321192402846,-0.04482345465435075,0.07567369677317447,-0.5923254256852983,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,36,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.8255872842663594,-0.01952442212019285,0.07444581183534929,-0.2622635395981002,0.6829906211270914,-0.038840375454967886,0.07486732185840944,-0.518789432970817,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,38,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.8132603149070124,-0.021056927436114665,0.07474875772479143,-0.2817027075371829,0.6762339540082792,-0.039853169021971974,0.07516223309296102,-0.5302286451851607,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,2,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7804114993417942,-0.025257015442537386,0.06794900746817595,-0.3717054359383624,0.5859736543094968,-0.054447492006749164,0.06846748630086355,-0.7952313564936945,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,4,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7173512754169662,-0.03384013859511429,0.07087647290033426,-0.47745235069329606,0.5377095572302193,-0.06320385240896537,0.07149987327924762,-0.8839715304405985,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,6,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.7607802368673996,-0.027852336554890278,0.07169788632850378,-0.38846802857307483,0.5790579752888456,-0.05565691512198827,0.07227077608145295,-0.7701164722412834,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,8,0.5019854193135103,-0.07018756551063597,0.10164073044389868,-0.690545662197661,0.8813169672749952,-0.012870038187472883,0.07376273656698887,-0.17447886001063345,0.6834692810487834,-0.038769007008539004,0.07434442906551375,-0.5214783070615151,F,2018-11-07-00:00,2018-12-15-00:00
