interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,1.0686887484637684,0.0039090498646386,0.04102761267250244,0.09527851147084963,0.6908970243917767,-0.021757865384405578,0.04138715061479877,-0.5257154711352764,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,4,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9234567570239121,-0.0046857047429164495,0.040711738641750435,-0.1150946851999879,0.5909453945638178,-0.0309530156703008,0.041208986574633275,-0.7511229526171928,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,6,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9172171422534164,-0.005084641144374166,0.03954779684906031,-0.12856951712836012,0.5949923019346895,-0.030551424500638222,0.04008501975701455,-0.762165634090575,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,8,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9177415194791011,-0.005051010233704586,0.03933412945794334,-0.12841291528023277,0.6065737433339402,-0.029417068179678218,0.039885024509382076,-0.7375466993321892,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,10,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9283340737153709,-0.004375740847785928,0.0377958448076133,-0.115773066326712,0.6230378951573197,-0.027841205276249278,0.03835832239534451,-0.7258191583380696,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,12,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9365526390161779,-0.003857099131058742,0.0366044954066773,-0.1053722797761922,0.6393340827556869,-0.026321904095621698,0.03718690957019679,-0.7078271466988808,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,14,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9428507122151781,-0.003462723191161093,0.036856010146999,-0.09395274142128066,0.6491294989244988,-0.025427198423773913,0.03743797331159309,-0.679182022278436,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,16,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9441750646288444,-0.0033801294981859746,0.03690171400692466,-0.09159817068528818,0.6567078913489945,-0.024744209052458565,0.03746605093981826,-0.6604434796772471,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,18,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9953052386235693,-0.0002769019796308352,0.03684898184363249,-0.007514508292409818,0.6887479990554717,-0.021941179373073546,0.03742768939598597,-0.5862285309930643,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,20,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,1.030715686622686,0.0017801856926139808,0.03679769831272894,0.04837763703275389,0.7156819179353577,-0.019683959808048646,0.037390402931621304,-0.5264441745665649,EE,2018-08-11-00:00,2018-10-15-00:00
