interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,1.009366743948715,0.0004891402945802491,0.042894999522760796,0.011403200839778612,0.630188994944946,-0.024225019707101104,0.04319725895960812,-0.5607999278322929,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,4,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9533734662505517,-0.0025051354101961834,0.0441094887099413,-0.05679357171128536,0.5714256075928432,-0.029360594473395087,0.044553216823710225,-0.659000551847247,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,6,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9147923802312856,-0.004672448383110143,0.043536843085087006,-0.10732170851199431,0.5436588093316593,-0.03197401141745864,0.0440573660649487,-0.7257358819481636,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,8,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9251663625430443,-0.004080828342496725,0.04303039655515125,-0.0948359454988151,0.561159497738653,-0.03031174184608632,0.043593884772505365,-0.6953209608243933,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,10,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9941039382416705,-0.00031025326105933314,0.04273084570823869,-0.007260639379283686,0.615404787456672,-0.025470517233890103,0.04328932568978728,-0.5883787014011874,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,12,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9292677612506011,-0.003848756663194679,0.04260128521985209,-0.09034367492277365,0.5921412090717124,-0.027492267134117225,0.04314759323024745,-0.6371680336238202,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,14,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.921927301129916,-0.004264834165081556,0.04248504335564895,-0.10038436654942216,0.5985564769467031,-0.02692691589947523,0.04303099103628881,-0.6257563502724647,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,16,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9364875265041787,-0.0034427142312039743,0.042354629283346774,-0.08128306844979516,0.6132014917896632,-0.025658691994448205,0.042904306003509626,-0.59804468093131,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,18,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9427140136422605,-0.0030950402572299312,0.04244522369164571,-0.07291845790976743,0.6193815539303709,-0.02513257643201436,0.042979171829498494,-0.5847617662740715,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,20,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9230055134227986,-0.004203510990440666,0.04255315367407571,-0.0987825960594205,0.615785621381492,-0.025438060017156063,0.04306521008948989,-0.5906870061540522,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,22,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9438297783985004,-0.003032980988225054,0.04271323995751195,-0.07100798233152167,0.6393900424915776,-0.02346454286687134,0.04319834651140854,-0.5431815048910363,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,24,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9447281072902725,-0.0029830688751795523,0.042618561353985986,-0.06999459344491822,0.63999860831714,-0.023414630753825844,0.043107134486141487,-0.5431729812927698,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,26,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9026615073260532,-0.005372831967000765,0.04258398926873043,-0.12617023579202463,0.6156747086706743,-0.02544751066872746,0.04307143606375113,-0.5908210404468973,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,28,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9033769279350442,-0.005331266244143906,0.04315231085043183,-0.12354532443516998,0.6151157337116201,-0.02549516574010047,0.04363953310418386,-0.5842217807242345,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,30,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8987467685339305,-0.005600862066222876,0.04307616305601784,-0.1300223062796774,0.6140479443334986,-0.025586319973719653,0.043554542899298665,-0.5874546779856494,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,32,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9086396956610938,-0.005026508954158272,0.04304424459217262,-0.11677540172402788,0.6197522275763576,-0.02510118765588495,0.04352580924951894,-0.576696633300675,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,34,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8799774596942794,-0.0067081399777089755,0.04312467564107479,-0.1555522419122777,0.6053278917808596,-0.026336714708286173,0.043594256668443,-0.6041326706999638,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,36,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8995266416015011,-0.0055553560220772185,0.043102818421746826,-0.12888614307584012,0.6177242042120623,-0.02527315154688433,0.04357326796542347,-0.5800150580153693,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,2,38,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8978885315614151,-0.005650986350134949,0.043030901275738116,-0.13132391334134372,0.6208078645638745,-0.025011898698022467,0.04348816292384178,-0.5751426828910734,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,2,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9533734662505517,-0.0025051354101961834,0.0441094887099413,-0.05679357171128536,0.5714256075928432,-0.029360594473395087,0.044553216823710225,-0.659000551847247,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,4,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9184043547289485,-0.004465702429201703,0.04336300240493928,-0.10298416118651958,0.5338714340247387,-0.032927135788538876,0.04398794321327103,-0.7485491110346997,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,6,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9134781835676555,-0.004747874339373179,0.042805016391519325,-0.11091864317832252,0.5456544720338722,-0.031781774991032116,0.04342824368030207,-0.7318227102388557,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,8,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.9107080296707226,-0.004907218414070498,0.04254445952706673,-0.11534330130456898,0.563778152238189,-0.03006748238690143,0.043169974428962705,-0.696490623045845,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,10,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8333430238542416,-0.009564916459151062,0.04243994645556433,-0.225375318726327,0.5328258892923914,-0.03302998534161408,0.04304763975719123,-0.7672891133618152,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,12,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8563293223164236,-0.008137357034727127,0.04223007302923461,-0.19269104813278157,0.5569135996789438,-0.03071021797489116,0.042839680613843176,-0.7168638405993971,NN,2020-05-08-00:00,2020-07-20-00:00
15m,16,4,14,0.9218333902011121,-0.0042695650232625025,0.056451631730838066,-0.07563226947309212,0.8396590741342633,-0.00916877343457865,0.042291622882598426,-0.21679880812403846,0.5563832370416064,-0.030760205638213824,0.042877802451247005,-0.7173923074343385,NN,2020-05-08-00:00,2020-07-20-00:00
