interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,multiple_macd_strategy,multiple_macd_strategy_net,trend_ref,start_opt,end_opt,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net
5m,16,4,6,0.8827339383913808,0.9120434452560416,0.8284904120138797,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,7,0.8827339383913808,0.9159979403651684,0.840616196917669,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,8,0.8827339383913808,0.9017949260919436,0.8304015339213776,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,9,0.8827339383913808,0.9022947972826004,0.8379566567607891,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,10,0.8827339383913808,0.8997528777121714,0.8370181895240414,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,11,0.8827339383913808,0.9000016713224028,0.8358270421726018,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,12,0.8827339383913808,0.9030936346756832,0.837273477196068,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,13,0.8827339383913808,0.9279671072127008,0.8647344943679257,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,14,0.8827339383913808,0.9376274559106804,0.8759682012128401,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,15,0.8827339383913808,0.9278168763495708,0.8638596599063011,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,16,0.8827339383913808,0.925645010116838,0.864773732213457,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,17,0.8827339383913808,0.9284433574230752,0.8688643690487771,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,18,0.8827339383913808,0.9324261112314556,0.8711089018036486,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,19,0.8827339383913808,0.929150913407594,0.8695265205727667,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,20,0.8827339383913808,0.9364648159168706,0.8778626845687377,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,21,0.8827339383913808,0.9409997022969836,0.8851190918899298,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,22,0.8827339383913808,0.9389329064918958,0.8831750313108926,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,23,0.8827339383913808,0.927530590428308,0.8709674302105025,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,24,0.8827339383913808,0.927895070886236,0.8713096837286932,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,25,0.8827339383913808,0.929049781363008,0.8723939770414633,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,26,0.8827339383913808,0.9314930588933198,0.8746882573313285,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,27,0.8827339383913808,0.932437169887852,0.875574794050685,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,28,0.8827339383913808,0.9308931232260498,0.8756126849616993,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,4,29,0.8827339383913808,0.9375430489808352,0.8833686656228867,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,6,0.8827339383913808,0.9065034188171516,0.8333189390696423,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,7,0.8827339383913808,0.8963882163098676,0.8296446982015323,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,8,0.8827339383913808,0.9011075252693131,0.8382783851553186,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,9,0.8827339383913808,0.898533329159227,0.8358836732061634,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,10,0.8827339383913808,0.9002458307624386,0.8360537918210594,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,11,0.8827339383913808,0.8971405751675484,0.838143775452148,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,12,0.8827339383913808,0.9006570899050707,0.8428611696050763,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,13,0.8827339383913808,0.9031638424929672,0.848086628163822,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,14,0.8827339383913808,0.9351190099637264,0.8780930887389943,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,15,0.8827339383913808,0.9366682966968646,0.8810449037876106,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,16,0.8827339383913808,0.9363050809660138,0.8807032573693747,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,17,0.8827339383913808,0.9337603472594996,0.8768172807211942,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,18,0.8827339383913808,0.9328867141213452,0.8774878878534077,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,19,0.8827339383913808,0.9359994006817104,0.8804157296953586,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,20,0.8827339383913808,0.933731457411902,0.8797773206048545,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,21,0.8827339383913808,0.9372907103089562,0.883130907926208,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,22,0.8827339383913808,0.9377550862612044,0.8850723014774613,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,23,0.8827339383913808,0.9370877320999558,0.8844424390623697,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,24,0.8827339383913808,0.9381311992323546,0.8854272845405963,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,25,0.8827339383913808,0.9364314577287932,0.883823033978254,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,26,0.8827339383913808,0.9403248484072848,0.8905213430649473,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,27,0.8827339383913808,0.9385815017366392,0.8903832059713788,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,28,0.8827339383913808,0.9415153879694306,0.8946866172196103,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,5,29,0.8827339383913808,0.9376802837274382,0.88801684550274,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,6,0.8827339383913808,0.8995089840539788,0.8339500866025277,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,7,0.8827339383913808,0.9011075252693131,0.8382783851553186,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,8,0.8827339383913808,0.8988085741938282,0.8375628531420628,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,9,0.8827339383913808,0.9030838874051756,0.843696249942119,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,10,0.8827339383913808,0.8944608382094491,0.8370625365738418,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,11,0.8827339383913808,0.9041131136548556,0.8504229875637099,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,12,0.8827339383913808,0.910576903987124,0.8565029302194823,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,13,0.8827339383913808,0.9079464043680696,0.8554822144493492,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,14,0.8827339383913808,0.9421766481784196,0.8892454614416448,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,15,0.8827339383913808,0.936419011830432,0.8823095791108149,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,16,0.8827339383913808,0.931732462863209,0.8778938346689437,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,17,0.8827339383913808,0.933165495913706,0.8792440622611457,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,18,0.8827339383913808,0.9349204139947896,0.8808975752867602,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,19,0.8827339383913808,0.9335038882622434,0.8795629011642865,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,20,0.8827339383913808,0.9314598111387782,0.8776369376760514,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,21,0.8827339383913808,0.9342312701421654,0.8817464522358477,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,22,0.8827339383913808,0.9392955948849604,0.8895466030794974,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,23,0.8827339383913808,0.933745570793568,0.8827880088183684,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,24,0.8827339383913808,0.9392129773329322,0.8894683612958016,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,25,0.8827339383913808,0.943665683656314,0.8967299622341499,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,26,0.8827339383913808,0.9459304502628793,0.9004119995574463,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,27,0.8827339383913808,0.951566858248744,0.9057771819378886,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,28,0.8827339383913808,0.9504490525967284,0.9077954652950871,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,6,29,0.8827339383913808,0.9524619465229878,0.9112663838655116,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,6,0.8827339383913808,0.9011075252693131,0.8382783851553186,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,7,0.8827339383913808,0.8995473417093685,0.838251280295397,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,8,0.8827339383913808,0.9062393664894548,0.8480852268225341,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,9,0.8827339383913808,0.8979403417215998,0.8417489964046524,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,10,0.8827339383913808,0.9092483834850268,0.8567089608440512,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,11,0.8827339383913808,0.9047566559424112,0.8510283135417774,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,12,0.8827339383913808,0.9083152355483204,0.8558297333263674,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,13,0.8827339383913808,0.9090050030439286,0.8593976150924004,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,14,0.8827339383913808,0.9372838220797468,0.8846275127689835,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,15,0.8827339383913808,0.9389533217390496,0.8877115556938587,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,16,0.8827339383913808,0.9398880152820236,0.8901076464344032,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,17,0.8827339383913808,0.9372388281577512,0.8845850465913254,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,18,0.8827339383913808,0.9425392010611996,0.8926184144150491,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,19,0.8827339383913808,0.9486721885713923,0.899955713076789,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,20,0.8827339383913808,0.9450930018140627,0.8965603257035404,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,21,0.8827339383913808,0.9442974431978628,0.8973302995354271,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,22,0.8827339383913808,0.94660212799405,0.8995203547064905,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,23,0.8827339383913808,0.9514626107358712,0.9087635376815166,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,24,0.8827339383913808,0.95047218443596,0.9062750611445404,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,25,0.8827339383913808,0.955616767966304,0.914284754036506,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,26,0.8827339383913808,0.9494513722985746,0.9068425581950132,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,27,0.8827339383913808,0.9497208622722266,0.9086438560656552,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,28,0.8827339383913808,0.951555438915253,0.9103990842188824,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,7,29,0.8827339383913808,0.95054799866927,0.9078899709350444,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,6,0.8827339383913808,0.8988085741938282,0.8375628531420628,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,7,0.8827339383913808,0.9062393664894548,0.8480852268225341,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,8,0.8827339383913808,0.8995506112424221,0.84325849841733,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,9,0.8827339383913808,0.9128382048246548,0.8600913502607923,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,10,0.8827339383913808,0.9049300975101464,0.8526401999230943,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,11,0.8827339383913808,0.9088292128727804,0.8577714745267803,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,12,0.8827339383913808,0.9125130069341304,0.8641825321064439,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,13,0.8827339383913808,0.9080579898079444,0.8585022834784484,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,14,0.8827339383913808,0.9441912289244522,0.8941829440284654,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,15,0.8827339383913808,0.9421186523498076,0.8922201397082524,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,16,0.8827339383913808,0.9419492941674652,0.8905440280688633,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,17,0.8827339383913808,0.9481766206948612,0.8994855937383344,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,18,0.8827339383913808,0.9452124886644278,0.8966736766322583,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,19,0.8827339383913808,0.941944981292414,0.8935739631986934,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,20,0.8827339383913808,0.94927854597198,0.9020636539212852,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,21,0.8827339383913808,0.9493897249065932,0.9052429361731552,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,22,0.8827339383913808,0.962614939821888,0.9241179640919388,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,23,0.8827339383913808,0.9615024134242636,0.9230499299413764,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,24,0.8827339383913808,0.9590168367324018,0.9206637566367084,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,25,0.8827339383913808,0.9625445941002704,0.9256231835660438,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
5m,16,8,26,0.8827339383913808,0.9607996724848722,0.9223752930753472,after_CPI_drop,2022-09-13-19:00,2022-09-16-08:00,,,,,,,,,
