interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,multiple_macd_strategy,multiple_macd_strategy_net,trend_ref,start_opt,end_opt,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net
1h,5,3,3,1.2259801384598463,0.0679712642859443,0.0017964478220571,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,4,1.2259801384598463,0.0946581299247835,0.0034973686020368,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,5,1.2259801384598463,0.1080283107668576,0.0049873636979954,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,6,1.2259801384598463,0.1265815223854025,0.0067757529830106,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,7,1.2259801384598463,0.0969044038180805,0.0056092401713604,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,8,1.2259801384598463,0.0917576871041648,0.0057630627668752,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,9,1.2259801384598463,0.0798711890733549,0.0053787525629483,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,10,1.2259801384598463,0.0843956377651821,0.0059606112476888,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,3,1.2259801384598463,0.0679712642859443,0.0017964478220571,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,4,1.2259801384598463,0.0946581299247835,0.0034973686020368,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,5,1.2259801384598463,0.1080283107668576,0.0049873636979954,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
1h,5,3,6,1.2259801384598463,0.1265815223854025,0.0067757529830106,subperiod1,2017-08-17-00:00,2019-04-28-00:00,,,,,,,,,
