interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.6737916503662923,-0.0308728650556157,0.0304735100175902,-1.0131049898024551,0.1687898912533746,-0.1391113353388905,0.0344274286245055,-4.040712330164295,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,4,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.7214332795620018,-0.0255308726600866,0.0299525434233159,-0.8523774525342206,0.2404879254118868,-0.111430199199393,0.0333827302191849,-3.337959431950666,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,6,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.7452224859425949,-0.0229940981604679,0.0293876203836147,-0.7824416492493015,0.2880294199333322,-0.0973249395466478,0.0324608780966036,-2.998222637631941,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,8,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8133474442013736,-0.0161542134814132,0.0293499435200933,-0.5504001556375698,0.3607858572333319,-0.0797143962767509,0.0321388556469136,-2.4803122162318205,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,10,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8095034227116836,-0.0165246382515205,0.0294360989870219,-0.561373239667595,0.381102077362576,-0.075430832766865,0.0321108926305693,-2.3490730586248265,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,12,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8540661150509246,-0.0123345189772254,0.0291413064428448,-0.4232658203370956,0.4289226639411865,-0.066187811931434,0.0316413998901277,-2.0918104812450142,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,14,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8528386629212453,-0.0124469762008397,0.0291579071534068,-0.426881673480651,0.4408691632189869,-0.0640397605619088,0.0315694540361429,-2.0285355739314235,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,16,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8653789415856725,-0.0113056001727097,0.0290665430600851,-0.3889557884244884,0.4624351928492152,-0.0603054482063539,0.0313993836969257,-1.920593371781954,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,18,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8792482435656604,-0.0100623654514683,0.0287970414793227,-0.3494235843183232,0.4770929609296907,-0.0578654736416855,0.0310955106209258,-1.860894787903717,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,20,0.8699328023044801,-0.0108952116114341,0.0467475646168892,-0.2330647960107399,0.8767198296628799,-0.0102875423676896,0.0286442161308375,-0.3591490275279133,0.474912695848495,-0.0582236216516208,0.0309170656965377,-1.883219520995523,OO,2020-08-18-00:00,2020-10-06-00:00
