interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.5963817892376386,0.0705475147347136,0.1042889191302568,0.6764622293822008,0.8379662970115186,-0.026662706673696,0.1075734179095485,-0.2478559033618784,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,4,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.7604257700360453,0.0853007555884751,0.1086095537462884,0.785389062436786,1.1028504866210946,0.0147656345137715,0.111142442728293,0.1328532480599575,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,6,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.483619793372287,0.0594987567839663,0.1095594938072767,0.5430725783438636,0.9780882052313196,-0.0033416238098605,0.1118074113703866,-0.029887319354803,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,8,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.2807121312194245,0.0373169176219449,0.1105894079711416,0.3374366343626944,0.8602624556834766,-0.0227020581288937,0.1127434006773406,-0.2013604165964852,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,10,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.3066947027670754,0.040346198224269,0.1096509911624049,0.3679510581396564,0.9049976790918988,-0.0150559332380437,0.1116269966652977,-0.1348771684970386,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,12,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.2061239594990258,0.0282666676517205,0.1045341746234495,0.2704059964460621,0.8613093632546579,-0.022518619522066,0.1064570328412166,-0.2115277771798615,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,14,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.1905214231266883,0.0263028323863746,0.1050894622153555,0.2502899132976184,0.8559701817313067,-0.0234564893899616,0.1069589444096091,-0.2193036731938271,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,16,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.1651333499257932,0.0230516419553042,0.1058821293991192,0.2177104114369656,0.843434287435669,-0.0256817144235818,0.1077007096872643,-0.2384544586396418,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,18,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.1109958699177895,0.0158755080660206,0.1067227595313782,0.1487546624143749,0.8015137265896841,-0.0333708310115904,0.1085999216528616,-0.307282275195924,A,2018-02-05-00:00,2018-03-04-00:00
15m,16,2,20,1.3760148764346618,0.0481425272923614,0.1472102742945841,0.3270323863130836,1.1092437246655136,0.0156374527702993,0.1064993875509762,0.1468313868266563,0.8181381459920966,-0.0302744987655986,0.108237376984219,-0.2797046603412481,A,2018-02-05-00:00,2018-03-04-00:00
