interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.1560348103652582,0.019265925423325423,0.1576472496242642,0.12220908052150449,0.9514960905494,-0.006606367257734504,0.15782788248560484,-0.04185804912092803,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,4,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.2342772338510213,0.02796768492911939,0.1573443636071946,0.17774824777924592,0.9911510585217377,-0.0011810116285812945,0.15774731522367452,-0.007486730451841311,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,6,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.098096745681845,0.012433976796473881,0.15525734562609161,0.08008623840844734,0.8847994292313618,-0.016262801985138388,0.15568954313552902,-0.10445661062144351,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,8,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.23036696566603,0.0275460691298307,0.15527127986932268,0.17740608020371604,0.9930644630382626,-0.0009247507637374029,0.15578477715504283,-0.005936079125478714,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,10,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.280603286753085,0.032863457919655725,0.15297005221323393,0.2148358939816888,1.0388983080306133,0.005070514690220216,0.15355159052379555,0.03302157061951403,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,12,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.20459194645661,0.024732952209965835,0.15182905157022283,0.16289999808453348,0.9839036679770025,-0.002156155467292884,0.15240876582360588,-0.01414718802846527,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,14,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.167204394743681,0.020543571695946065,0.1499500119178985,0.1370028013548555,0.9647824261718361,-0.004763823765003292,0.1505155688973703,-0.031650039925448015,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,16,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.324171832409074,0.03730882403939773,0.15366439005998447,0.2427942090215817,1.100126087938408,0.012679305242580902,0.15422262949178564,0.0822142981504296,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,18,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.2863634362419303,0.03345977664270677,0.15459275858718233,0.21643818862212222,1.0723557972881366,0.009282175621978351,0.1551127576107058,0.05984147123007308,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,20,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.1180582890126907,0.014827677916416395,0.15327643941566912,0.09673814170621055,0.9416097760086005,-0.007994169776046951,0.15377860854283076,-0.05198492723921609,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,22,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.1480434082071753,0.018344220917921848,0.15322675025648133,0.11971944120211415,0.9734620376652463,-0.0035737912223647076,0.1537023721389314,-0.02325137323927806,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,24,0.5126287594686112,-0.08875335770051367,0.20453708666144463,-0.43392305595620734,1.256645408066548,0.030354101032633075,0.15274433883748992,0.19872488410145184,1.061931150377716,0.007984171116258123,0.15324820256360763,0.05209960692977257,A,2018-01-07-00:00,2018-02-05-00:00
