interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.9672041916913912,-0.0038873078042440637,0.08613632361873833,-0.04512971579156657,0.7629402584841714,-0.031542662205811,0.08641285082933378,-0.3650228166654062,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,4,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.7398249282338376,-0.03512926287075284,0.08097908053364586,-0.4338066404218685,0.5747174430351547,-0.06456883368532414,0.0815412091792015,-0.7918552390291698,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,6,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.7744311052392114,-0.02979996824720232,0.08412286773584846,-0.35424337102696324,0.61452573252771,-0.05676146071037871,0.08468815552727377,-0.670240842500091,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,8,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.7593456794580854,-0.032093206669861964,0.08290348748092086,-0.3871152788023277,0.6128896747672881,-0.05707223645192238,0.08346549521119742,-0.6837823978340906,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,10,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.9264049346524752,-0.008911531012541994,0.08606490134005136,-0.10354431218519161,0.7464575053527354,-0.034088807062714,0.08663964680004314,-0.39345505575972667,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,12,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.9148800494465484,-0.01037088638371873,0.0851405622293803,-0.12180899576136398,0.739682740653863,-0.03515166989766759,0.08565768060527701,-0.41037382344791207,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,14,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.9285802052154142,-0.008638121991759635,0.08525380329604716,-0.1013224238426457,0.7533171389204927,-0.033022412969485326,0.08577063883295995,-0.3850083597231582,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,16,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.936962190201084,-0.007590548571975111,0.08552601522494734,-0.08875134135515063,0.7653052458190404,-0.031181854477254425,0.08606389776608918,-0.3623105075022604,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,18,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,1.0008888907176732,0.00010357745104454017,0.08577958173066104,0.0012074837502677803,0.8203054405420699,-0.023091235918011575,0.08632372856066697,-0.26749581260016375,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,20,0.5913272010512473,-0.06122790801740818,0.11967507178084093,-0.5116178925677511,0.8976081020928545,-0.01259275854947654,0.0845898676462757,-0.14886840350826547,0.7419407658063306,-0.0347963405779747,0.08514755772308921,-0.4086592910995388,B,2018-03-04-00:00,2018-04-06-00:00
