interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.9023251672066942,-0.011686859735857138,0.04253908803932836,-0.2747322586006632,0.7258196984862836,-0.03643787543010822,0.04287762727388539,-0.8498109094833404,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,4,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.9098611140295159,-0.010741155535399083,0.04113308622294555,-0.26113176816300426,0.7134483595692105,-0.03839268088132016,0.041727067867668326,-0.9200905513676946,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,6,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.881576450078706,-0.01433205516534602,0.0417193492061092,-0.34353496490418156,0.6983589699723894,-0.040823376650599125,0.04231878963409367,-0.964663143808589,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,8,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8582447262459519,-0.017381958528141107,0.041217426764417614,-0.4217138208915723,0.6856818058903659,-0.04290644346283756,0.04182449994934624,-1.0258686538942885,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,10,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8475267783533325,-0.01881089963321154,0.0417999417600857,-0.4500221493412189,0.679425762138155,-0.0439486499476853,0.04241903519262026,-1.0360596309680128,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,12,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8614932293199898,-0.016952383180881634,0.04323674409152549,-0.39208278831070315,0.7000818924031582,-0.04054319501446465,0.04382048145222517,-0.9252110810025319,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,14,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8706821146476533,-0.015745978868585076,0.04311563985317647,-0.3652034139399422,0.7063469109418045,-0.03953015801227943,0.04370760447203652,-0.9044228913888485,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,16,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8645273092892185,-0.01655262317843895,0.04292063804141908,-0.38565650311315064,0.7073427236179243,-0.039369965771576663,0.043506235652229504,-0.9049269646375192,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,18,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.823333828943353,-0.022103937902372032,0.03939201767754535,-0.5611273350684941,0.6770843594949697,-0.044341178565175735,0.039983390322749425,-1.1089899632634916,J,2019-11-13-00:00,2019-12-17-00:00
15m,16,2,20,0.8087284881450654,-0.02413160754628797,0.056896125535714694,-0.4241344611618613,0.8010831442014923,-0.025219173187475085,0.03917397873298171,-0.6437735967381412,0.6610305243340379,-0.047069679230056116,0.03975472457614843,-1.1840021464592518,J,2019-11-13-00:00,2019-12-17-00:00
