interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8580011397286801,-0.01197765066768427,0.03502809762144076,-0.34194408149510036,0.6333689971825007,-0.03571807667671445,0.035425082182828554,-1.0082708204422435,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,4,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.916597770509108,-0.006810924968819576,0.03484519463430225,-0.19546238843834082,0.646809179253427,-0.034075839993195994,0.0354208007559344,-0.9620290695287833,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,6,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.901788137193737,-0.008084876515737697,0.03628356173896753,-0.22282477596610273,0.6550240341256541,-0.03308879858687312,0.036834635645432295,-0.898306661843588,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,8,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8690351902455129,-0.010978284913833236,0.03653091297151692,-0.3005204091776459,0.644247397474893,-0.0343862119591515,0.03709289382143719,-0.9270296387411702,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,10,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8304810139938045,-0.014527282421367286,0.03645706403945278,-0.39847647648330325,0.6272910069112156,-0.036472214026353145,0.037032200732829,-0.984878384341349,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,12,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8327453791830256,-0.014314331055868003,0.03667172107781079,-0.39033703996317953,0.6343724757201064,-0.03559426473343006,0.037229916987829376,-0.9560661858329145,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,14,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.858017850950343,-0.011976127417745425,0.0352278964106998,-0.3399614691187721,0.6637054253248315,-0.032059064825944616,0.0358236349808804,-0.8949137864723948,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,16,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8920866936394999,-0.008930804745078439,0.03480749015144102,-0.25657709608541557,0.6924097976712094,-0.02874774298230816,0.03539800474389764,-0.8121289092505719,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,18,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8751666730835602,-0.010428420493389753,0.03483607493102272,-0.29935693140052605,0.6827513417451883,-0.029846359974165182,0.03541709137158351,-0.8427106467052249,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,20,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8648977444580288,-0.011351522957188527,0.03483300461567781,-0.325884117159373,0.673593684053872,-0.030902462023448717,0.03542006408611567,-0.8724564119454032,OO,2020-08-18-00:00,2020-10-06-00:00
