interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7691609923346233,-0.0348602864518233,0.1390480033479499,-0.2507068466462616,0.3733651398628892,-0.1308578675360282,0.1423904642278905,-0.9190072400255344,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,4,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7887332407548292,-0.0315227060846096,0.1334650974932497,-0.2361868883825897,0.4507621065814903,-0.1058361276768521,0.1362058144791406,-0.7770309078329434,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,6,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.903443724633705,-0.0134871294580502,0.13402732217048,-0.1006297017625618,0.5554896663394265,-0.0780878546111847,0.1364343853744004,-0.5723473184336756,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,8,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.8887426971551963,-0.0156662456085171,0.1333143869486075,-0.1175135404894933,0.5682475336190765,-0.0750718075500359,0.1354918613471441,-0.5540687595817596,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,10,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7487342936017382,-0.0384353907963428,0.128258396812168,-0.2996715361461346,0.4902627881276078,-0.0946786794786175,0.1303411353564622,-0.7263913976173861,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,12,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7594587015419709,-0.0365463999309513,0.1281600796939548,-0.2851621192669651,0.5062442883991413,-0.0904179836687926,0.1301608881338205,-0.6946632353632408,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,14,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7118825443889699,-0.0451391763563981,0.1263581085873225,-0.3572321306566864,0.4843138741871541,-0.0963002401577445,0.1282783866427975,-0.7507129040054193,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,16,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7029359484981684,-0.046819020593556,0.1267467916647212,-0.3693901832040432,0.4880866317803902,-0.095269564458407,0.1285723754126831,-0.7409800445283606,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,18,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7478586566443187,-0.0385908178338971,0.1273164271475567,-0.3031094941831131,0.5246044622236063,-0.0856861017305005,0.1291140366878472,-0.6636466795446856,A,2018-01-07-00:00,2018-02-05-00:00
15m,16,2,20,0.5126287594686112,-0.0887533577005136,0.2045370866614446,-0.4339230559562073,0.7012723482496244,-0.0471337401835331,0.1275156361808238,-0.3696310632579602,0.4936012702324144,-0.0937772707573873,0.1293434472723237,-0.7250252930088203,A,2018-01-07-00:00,2018-02-05-00:00
