interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6526674496210838,-0.0497257196366305,0.0838071188810027,-0.5933352715207383,0.2737116123406179,-0.1509972178641958,0.0871927106698552,-1.7317642346953597,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,4,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6568200544693135,-0.0489865879673398,0.0838346536093565,-0.5843238548536522,0.3465387778007735,-0.1235033850976027,0.0865980423255955,-1.4261683264530238,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,6,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6682072336161774,-0.0469834856677105,0.0823951579251718,-0.5702214408081984,0.3831823768664861,-0.1117893172145082,0.0849424796885439,-1.3160590275254835,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,8,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6831475168616185,-0.0444065222061876,0.0821476529288932,-0.5405695795669995,0.4150682625572004,-0.1024741327358871,0.0844585560539639,-1.2133067095110217,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,10,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.7022318795265797,-0.0411955428241688,0.082770491883565,-0.4977080827563456,0.4436824088219138,-0.0947049450187723,0.084975364918904,-1.1144988327988194,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,12,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.69964085763814,-0.0416263313162304,0.082566655536707,-0.5041542623429197,0.458896682858148,-0.090775708146829,0.0846339438752128,-1.0725685698952163,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,14,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6585068774996636,-0.048687680232061,0.0827728862043458,-0.5882080771215736,0.4385781733596821,-0.0960534103228397,0.0847974087682874,-1.1327399235194766,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,16,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6383851640481298,-0.0523042520505066,0.0832596463144409,-0.6282065125880164,0.4273514018858739,-0.0990754332280121,0.0852733495853146,-1.161856942524449,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,18,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6731897281150255,-0.0461177354417272,0.0822454257644613,-0.5607331351630619,0.4599413129126063,-0.0905107209661388,0.084138269836601,-1.0757378436936404,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,20,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6373967938153065,-0.0524848215501651,0.0823702815831139,-0.637181523984551,0.4317994329158491,-0.0978687219300323,0.0842698301191432,-1.161373195978473,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,22,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6856153201698132,-0.0439862952436206,0.0826458416006621,-0.532226357572335,0.4700267251232253,-0.0879829148258497,0.0844896751420618,-1.0413451664705116,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,24,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6457728669456194,-0.0509633506404358,0.0825443043631666,-0.617406022542932,0.4419603235829129,-0.0951581531937563,0.0843817158661528,-1.127710573516865,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,26,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.627985299351848,-0.0542184100683633,0.0826535342416613,-0.6559720714402885,0.4334566932616572,-0.0974222977662283,0.0844855033211541,-1.153124428884534,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,28,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.5975175202817854,-0.0600142594604235,0.0831407179091558,-0.7218395627278368,0.4145362634147198,-0.1026235982450151,0.0849700314854602,-1.207762271602497,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,30,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6265571439534493,-0.0544837431501926,0.0830758527357399,-0.6558312837727068,0.4383947224520781,-0.0961021670793284,0.0848656314764299,-1.1324038413125963,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,32,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6513699136109617,-0.0499576355953851,0.082888453832418,-0.6027092228839055,0.4596476805513846,-0.0905851446690652,0.0846129081914522,-1.0705830422953877,B,2018-03-04-00:00,2018-04-06-00:00
15m,16,2,34,0.5913272010512473,-0.0612279080174081,0.1196750717808409,-0.5116178925677511,0.6377154292357888,-0.0524265781448986,0.0840832874768065,-0.6235077114386132,0.4500122154477232,-0.0930540872185788,0.0858222160832518,-1.084265723554747,B,2018-03-04-00:00,2018-04-06-00:00
