interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,1.0219112659767562,0.0015806698105553,0.0431401294748069,0.0366403585199811,0.2784788325299576,-0.0932309346933775,0.0463927158988291,-2.0096028630160565,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,2,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,1.0219112659767562,0.0015806698105553,0.0431401294748069,0.0366403585199811,0.2784788325299576,-0.0932309346933775,0.0463927158988291,-2.0096028630160565,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,4,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8258022837412734,-0.0139582344687736,0.0427841319919523,-0.3262479292883453,0.2984381082731728,-0.08818288495354,0.0455255807794871,-1.936996375305404,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,6,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8137798343657443,-0.0150277481539415,0.0433807373218249,-0.3464152313146834,0.3456585575357023,-0.0774707080855701,0.0457636851411351,-1.6928424327422618,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,8,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8861420147694031,-0.0088152826353926,0.0433526093118539,-0.2033391478695201,0.4140020416487754,-0.0643132460304348,0.04549227817679,-1.4137178573582003,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,10,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8919710702397152,-0.0083371381576597,0.0434261514702622,-0.1919842738854927,0.434824151164359,-0.0607346566702973,0.0454624876127239,-1.33592902323495,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,12,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8773541050125198,-0.0095421136541663,0.0436606956084254,-0.2185515718701686,0.4432485649651569,-0.059335258465584,0.0456163246825534,-1.3007461446861728,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,14,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8463099799061087,-0.0121693100283644,0.0436627456433523,-0.2787115159400698,0.4438640528207568,-0.0592340633432661,0.0455631149266661,-1.3000442010736848,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,16,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8447351377496972,-0.0123051416046984,0.0432905033271953,-0.2842457504292462,0.4544847468217327,-0.0575096279901573,0.0451330434008852,-1.274224462980252,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,18,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.8897622941940944,-0.0085179504581866,0.0432226798722304,-0.1970713172659905,0.4894111868181082,-0.052110205504795,0.0449717058523424,-1.1587331304685384,C,2018-05-06-00:00,2018-06-28-00:00
15m,16,2,20,0.6172342276718868,-0.035187801565633,0.0651079307456818,-0.5404533850581147,0.9016649376765784,-0.0075488486075951,0.0432453729172558,-0.1745585272680801,0.5053230626543346,-0.0497769079059454,0.0449767477243265,-1.1067253730981224,C,2018-05-06-00:00,2018-06-28-00:00
