interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6251162216250897,-0.0478469468625968,0.0671498314543193,-0.7125400887289813,0.2371306135292192,-0.1465646274738468,0.0702648579978429,-2.0858880477399704,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,4,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6172484687019077,-0.0491368653832972,0.0675761864915193,-0.7271328545517117,0.2915813528792542,-0.1255131761720012,0.0701424388950288,-1.7894042201731413,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,6,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.5882608841719289,-0.054035556181469,0.0678842246491662,-0.7959957775275659,0.3114243057714752,-0.1188082097755171,0.0701931851098636,-1.6925889541778598,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,8,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6155883538927577,-0.049411141282706,0.0683536915962741,-0.7228745094639389,0.3470557590433842,-0.1077758050826905,0.0704415365243651,-1.5300036086721618,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,10,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6278727738708156,-0.0473988472884211,0.0685298520588353,-0.6916525552649307,0.3699838741614945,-0.1012605993412258,0.0704685901965322,-1.4369607659074308,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,12,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6029039848886247,-0.0515315355051303,0.0671179309886926,-0.7677759839440212,0.3675617292973968,-0.1019295092908736,0.0689369432865543,-1.4785904977999549,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,14,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6239408462094358,-0.0480386147291767,0.0666370763494582,-0.7208991954756935,0.3875694998463597,-0.0965315104680361,0.0684332374516858,-1.4105939461973844,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,16,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6115543896102296,-0.0500807072765909,0.0662186812442201,-0.75629273092723,0.3831192815151181,-0.097707658448685,0.0680393498408509,-1.436046327268417,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,18,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6460284372366886,-0.0444957563678948,0.0656007564646932,-0.6782811474413829,0.4109580590869349,-0.0905640073198112,0.0673173882497615,-1.3453285945051796,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,20,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6363412786008418,-0.0460344291756249,0.064993871524431,-0.7082887677851397,0.4061748803047145,-0.0917563023008351,0.0667206499937189,-1.3752309413873076,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,22,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6586346986353543,-0.0425276149882752,0.0647356531680535,-0.6569427032407275,0.4261632214329285,-0.0868639768066608,0.0664052407535722,-1.3080891782172783,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,24,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6265835781030835,-0.0476081709525188,0.0625181425186031,-0.7615096839825721,0.4109781788553162,-0.0905590214640799,0.0642125545483209,-1.4103008687488494,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,26,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6287852371847718,-0.047250952372866,0.0626396990463408,-0.754329172908538,0.4173610700646569,-0.0889894804909555,0.0642941133332047,-1.3840999724153118,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,28,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6204853698738875,-0.0486041956448583,0.0627156729090454,-0.7749928110529473,0.416075786442057,-0.0893035902828293,0.0643369331149342,-1.3880610398896946,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,30,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6293600497527829,-0.0471578950938849,0.0626750462152664,-0.7524189919527839,0.4234646547922019,-0.0875109119051498,0.0642841055101939,-1.3613149193041616,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,32,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6122465202137309,-0.0499655126592877,0.0625969645065485,-0.7982098341855003,0.4126509700308971,-0.0901453405571996,0.0642000953724628,-1.404130944575909,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,34,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.5983103203283674,-0.0523104607142057,0.0622591517225742,-0.8402051628859367,0.4025728569139187,-0.0926634775254707,0.0638752518248802,-1.45069451592169,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,36,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.5579263242631882,-0.0594274139652472,0.0633064537127855,-0.9387259983770836,0.3754005015037077,-0.0997804307765122,0.0649318684140709,-1.536694279921407,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,2,38,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.5769894819650017,-0.0560058323484021,0.0631505034937306,-0.8868627999769186,0.3928762154177012,-0.0951465267661956,0.0647189505613696,-1.4701494066405345,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,2,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6172484687019077,-0.0491368653832972,0.0675761864915193,-0.7271328545517117,0.2915813528792542,-0.1255131761720012,0.0701424388950288,-1.7894042201731413,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,4,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6138876261039636,-0.0496928951563346,0.0689474034476522,-0.7207362811576158,0.3526320510696439,-0.1061524809094353,0.0709592380469881,-1.4959642159508928,F,2018-11-07-00:00,2018-12-15-00:00
15m,16,4,6,0.5019854193135103,-0.0701875655106359,0.1016407304438986,-0.690545662197661,0.6168883796846086,-0.0491962947945072,0.0693070618216416,-0.7098309104649609,0.3844942621678852,-0.0973428127066605,0.0709999074844005,-1.3710273175785177,F,2018-11-07-00:00,2018-12-15-00:00
