interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.8753708593132173,-0.007831123431563234,0.03720901297083711,-0.21046307887019053,0.15097370242221153,-0.11123260943256691,0.040612979226509235,-2.738843875801218,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,4,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9431174506118454,-0.003445523172609229,0.03447061631933609,-0.09995536896381174,0.2496832702509375,-0.08163445525754803,0.037385557578190697,-2.1835826598764023,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,6,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9829681526244437,-0.0010106662619099422,0.03436102685185712,-0.029413156547017406,0.31752168264284625,-0.06749376974296131,0.036924630733810145,-1.8278793423697113,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,8,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,1.012653469909554,0.0007397712059961135,0.03380004864880762,0.021886690569074396,0.35979370474404787,-0.06014054251592961,0.03615810258547727,-1.663265996155583,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,10,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,1.0097837935646208,0.0005728124417277188,0.03394485705222139,0.016874793163703522,0.3899509841550458,-0.05540506024096316,0.03616393880990625,-1.5320527039987761,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,12,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9316909911614112,-0.004162675200608225,0.035363012802504,-0.11771268539408701,0.3678363652961997,-0.05883990026064506,0.03745972165591463,-1.570751133740863,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,14,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9114124062110179,-0.005457337623408294,0.0353574124326618,-0.15434776608163267,0.37038470283787633,-0.05843371579228208,0.03742404045290014,-1.5613951643148625,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,16,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9057482756238897,-0.005824106439705053,0.035384313283344515,-0.16459571768618933,0.37439592695140916,-0.05779998643730643,0.037407797843520336,-1.5451320251218255,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,18,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.8973833535545505,-0.006369975719936374,0.03532888326904308,-0.18030504025351018,0.3785856960251527,-0.0571452579120109,0.03732715769953993,-1.5309297957265906,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,20,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9159912545949435,-0.005162506211273535,0.03545037690728087,-0.1456262714716934,0.4063167498261056,-0.052986318798094414,0.03739981438782153,-1.4167535231230535,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,22,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9428670866214185,-0.003461143308605746,0.03549803080934037,-0.09750240308245597,0.4275875153331678,-0.04998430827277244,0.03738900766246057,-1.3368717545011992,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,24,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9326043592490791,-0.004105027468986236,0.035541994461623136,-0.11549794914910262,0.4316528116470896,-0.04942759462762603,0.037421039351040145,-1.3208503955209399,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,26,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.955956862221796,-0.002649985316560001,0.035585296690855146,-0.07446854636569616,0.4469991778038167,-0.04737225357243634,0.03741319629144174,-1.266191030657082,EE,2018-08-11-00:00,2018-10-15-00:00
15m,16,2,28,1.040772995184715,0.0023511848983583036,0.05343381645436931,0.04400181485007976,0.9449772123994526,-0.003329622817437974,0.03553236547950139,-0.09370675924626612,0.4494436603519087,-0.047051392902041946,0.03734694281018972,-1.2598459033494025,EE,2018-08-11-00:00,2018-10-15-00:00
