interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.726317654919348,-0.01920606447315568,0.09778804398279688,-0.1964050377828854,0.13465552265492253,-0.1204275033193438,0.10019754555041428,-1.201900731777415,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,4,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8116850801759805,-0.012531617395917793,0.09798549431658778,-0.1278925771954425,0.21801626543560548,-0.09148638251004826,0.09994710548193625,-0.9153479940105207,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,6,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8904993626361347,-0.006965625403366719,0.09828984898227085,-0.0708682074038302,0.28838679938790407,-0.07468491294627543,0.10000319808606355,-0.7468252453486637,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,8,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.9336022467595668,-0.004126583656759316,0.09865850671674262,-0.04182694218763219,0.3405666431077925,-0.06469602183616355,0.10020823720396071,-0.6456158060587702,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,10,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7441859336718761,-0.017746337510387733,0.0850579858767969,-0.20863811113623823,0.2886087240781983,-0.07463871030284652,0.08674059967239137,-0.8604818341670198,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,12,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.7219385474611245,-0.019569288988234654,0.08538449969763298,-0.2291901815614568,0.2956390576326051,-0.07319315921451998,0.08698867314143854,-0.8414102270017632,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,14,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8998205393801969,-0.0063401969267322215,0.08145463652900178,-0.07783715202602132,0.384813668075013,-0.05735947917059807,0.0829900734763361,-0.6911607228176949,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,16,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8944407011686359,-0.006700375990509444,0.08207794620522678,-0.08163430373557228,0.3937326952834355,-0.055983266246095564,0.08359404835962282,-0.6697039722882511,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,18,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.889361558114307,-0.0070424172781819,0.0818174806986587,-0.08607472655042717,0.4071129484291156,-0.05397607131433076,0.08330829888268364,-0.6479074958707405,MM,2020-02-15-00:00,2020-04-19-00:00
15m,16,2,20,0.6978966054050272,-0.021603550386583213,0.13560926872213008,-0.15930732899127956,0.8505164457083715,-0.009724816315224115,0.08394129722880994,-0.11585258551241936,0.3966827549871397,-0.05553492259425086,0.0854157649116297,-0.6501718113946148,MM,2020-02-15-00:00,2020-04-19-00:00
