interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.6737916503662923,-0.03087286505561573,0.0304735100175902,-1.0131049898024551,0.16878989125337462,-0.13911133533889058,0.034427428624505506,-4.040712330164295,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,4,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.7214332795620018,-0.025530872660086693,0.029952543423315974,-0.8523774525342206,0.24048792541188685,-0.11143019919939301,0.033382730219184975,-3.337959431950666,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,6,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.7452224859425949,-0.022994098160467942,0.029387620383614785,-0.7824416492493015,0.28802941993333225,-0.09732493954664784,0.032460878096603626,-2.998222637631941,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,8,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8133474442013736,-0.016154213481413236,0.0293499435200933,-0.5504001556375698,0.36078585723333195,-0.07971439627675095,0.03213885564691365,-2.4803122162318205,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,10,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8095034227116836,-0.016524638251520535,0.029436098987021972,-0.561373239667595,0.38110207736257606,-0.075430832766865,0.032110892630569376,-2.3490730586248265,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,12,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8540661150509246,-0.012334518977225407,0.02914130644284483,-0.42326582033709564,0.4289226639411865,-0.06618781193143407,0.03164139989012775,-2.0918104812450142,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,14,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8528386629212453,-0.012446976200839751,0.029157907153406826,-0.42688167348065104,0.44086916321898695,-0.06403976056190884,0.031569454036142905,-2.0285355739314235,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,16,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8653789415856725,-0.011305600172709748,0.029066543060085118,-0.3889557884244884,0.4624351928492152,-0.06030544820635392,0.031399383696925735,-1.920593371781954,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,18,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8792482435656604,-0.010062365451468389,0.028797041479322764,-0.3494235843183232,0.4770929609296907,-0.057865473641685504,0.031095510620925804,-1.860894787903717,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,20,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8767198296628799,-0.010287542367689676,0.02864421613083756,-0.3591490275279133,0.474912695848495,-0.05822362165162086,0.03091706569653771,-1.883219520995523,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,22,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8938246400146378,-0.008776707676225931,0.028549954038539306,-0.3074158250615163,0.49332067377259947,-0.05525010492930199,0.030796470542844047,-1.794040159648751,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,24,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.899415718295122,-0.008289122505752148,0.028475097966300385,-0.291100754615915,0.5057798339733888,-0.05329983772797312,0.03066662494322997,-1.7380405514673276,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,26,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8901216722526074,-0.009101316848624488,0.02862412445275792,-0.3179596589459204,0.5074097483321462,-0.053048263321132674,0.03077513878134218,-1.7237375824051153,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,28,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.890558054515324,-0.009062992631052246,0.028699292537930708,-0.31579149970592657,0.5137377898283699,-0.0520791414475618,0.030821770027908518,-1.6896869128672736,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,30,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8930275984158539,-0.008846464129248957,0.02863075120902307,-0.30898470196132916,0.5177973290429605,-0.05146369966461622,0.03071800964081972,-1.6753591872120688,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,32,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.88441921714208,-0.009603855386625735,0.02857181543317521,-0.33613038727229555,0.5154288741540671,-0.05182217764085069,0.030660037709607655,-1.6902189792353597,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,34,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8826513902513389,-0.009760306259418636,0.028587534558875007,-0.3414182583432521,0.518791115253173,-0.0513137730450731,0.03064033756116991,-1.6747130459196493,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,36,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9003362410526253,-0.008209136515599976,0.02803634768033787,-0.29280334975147687,0.53189229650652,-0.04936369002011215,0.030088768974994518,-1.6406018491861927,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,2,38,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8591556673485086,-0.01186994028817666,0.030570638638239413,-0.38827910756594713,0.508427902899256,-0.052891522698974826,0.03252716256925361,-1.6260724428810365,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,2,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.7214332795620018,-0.025530872660086693,0.029952543423315974,-0.8523774525342206,0.24048792541188685,-0.11143019919939301,0.033382730219184975,-3.337959431950666,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,4,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8086320245057962,-0.016608854103079527,0.028805516790100686,-0.5765858749941724,0.3667123002630519,-0.07844041268013406,0.03146023184966278,-2.4933195996448085,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,6,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8545509962305141,-0.012290139457237788,0.029013309879216846,-0.4236034946857823,0.4523978355658101,-0.06202132850630945,0.0312795716360863,-1.9828061978558975,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,8,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.8889867602779274,-0.009201075790011575,0.028799447621740044,-0.31948792597903486,0.5046129027563456,-0.05348044999680507,0.03088887233282057,-1.731382402716596,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,10,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9049475293945587,-0.007809679770649585,0.028709252199932936,-0.2720265827985526,0.541018620472164,-0.048033435619163185,0.030646997864003732,-1.5673129169882118,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,12,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9353104308578127,-0.005229226545058598,0.028486426153257922,-0.183569062574757,0.5697294048766024,-0.043990300362717054,0.03031496066395398,-1.4511086077384803,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,14,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9473095809725817,-0.004232477772700079,0.02831055209133728,-0.1495017744283119,0.6031246387737432,-0.039536303153791995,0.029994192820377876,-1.3181319260884148,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,16,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9319269903605117,-0.005512594991247808,0.02802676762673391,-0.19669035918325115,0.5994159941612482,-0.04001859381005518,0.029697511848448137,-1.3475402927449756,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,18,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9356086166732935,-0.005204302185921499,0.0281225160558112,-0.1850581994723793,0.6121053053790567,-0.03838059006758788,0.029726341398388045,-1.291130635728658,OO,2020-08-18-00:00,2020-10-06-00:00
15m,16,4,20,0.8699328023044801,-0.010895211611434181,0.04674756461688926,-0.23306479601073998,0.9385711544879085,-0.004957104141390548,0.028077535723112838,-0.176550541695508,0.6256380830859871,-0.036670709992201886,0.0296391954815507,-1.237237023354026,OO,2020-08-18-00:00,2020-10-06-00:00
