interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.2643568308598854,0.03621645471859805,0.05199560195703024,0.6965291939215886,0.6653762116729747,-0.06290269596252095,0.05512766272425348,-1.1410368743031587,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,4,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.2514136861353222,0.03462773237362735,0.050948899935874044,0.6796561342288244,0.7674815693655707,-0.040860362515966656,0.05349268659902403,-0.7638495112846351,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,6,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.263002572617375,0.036050988282933606,0.05122470723134382,0.7037812460326648,0.8234913985453259,-0.02998468429005043,0.05356093012157193,-0.55982381601648,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,8,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.2770696773209012,0.03776115511032726,0.05128182161249134,0.7363458224176911,0.8673504542349478,-0.021972902584916784,0.05345011639135561,-0.41109176309427875,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,10,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.224607656601043,0.03128446997257377,0.05090933759286079,0.6145133967911008,0.8503116502149375,-0.025036212997227674,0.053003998479272924,-0.4723457421239271,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,12,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.1684900242820513,0.02404187956116757,0.05127565992130285,0.4688750880645262,0.8154959643229085,-0.03149110154891635,0.05328093276774084,-0.5910388559860718,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,14,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.1259475556862057,0.018315612434844628,0.051612370300818645,0.3548686550936049,0.7992827925572613,-0.03459169580951428,0.05356819490773326,-0.6457506337313696,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,16,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.187422356501506,0.026523467782766368,0.05165845862379422,0.5134390086224812,0.8661723426036503,-0.02218276387643262,0.05351315855197325,-0.414529145292147,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,18,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.1760032559592362,0.02503146811466966,0.05164297605693719,0.4847022775579795,0.8636977983405568,-0.022624494398239315,0.05349093407071819,-0.42295941903591344,B,2018-04-10-00:00,2018-05-05-00:00
15m,16,2,20,1.4354392858782112,0.055810866158641725,0.07417350513494009,0.7524366828439326,1.179914408024035,0.025544117428075174,0.051461482186309464,0.49637352720615563,0.8695226343179763,-0.02158671051168881,0.05328422831379699,-0.40512382734647434,B,2018-04-10-00:00,2018-05-05-00:00
