interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1349745233826785,0.011576333812058578,0.03954988384008455,0.29270209386369284,0.36013496191530037,-0.09337823011172512,0.043189516408476486,-2.1620577833883425,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,4,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.188260593863665,0.01577130548002336,0.03911847123277787,0.4031677359315714,0.5138150878213853,-0.06088439824505071,0.04203078536388823,-1.4485667521540297,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,6,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1646182599151418,0.013933761570970782,0.03922878597491704,0.3551922707952282,0.5624507010625511,-0.05261520636884995,0.04187312169652894,-1.2565389022144837,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,8,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1257341686736428,0.010828889597402816,0.039319311113795,0.27540893496487406,0.5760330399242471,-0.05043347808551621,0.04182295512209157,-1.205880309946736,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,10,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.0995595884160498,0.008677868185139206,0.0389988076454941,0.22251624367653822,0.5811158945162298,-0.04963022288362894,0.041359213866389785,-1.1999798411052616,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,12,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.0949963990420077,0.008297630829580394,0.03860190136448353,0.21495394103086332,0.6048657017160648,-0.04596776592508637,0.04088335211934567,-1.1243639169043282,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,14,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1369283238997483,0.011733595487747264,0.03878793064073778,0.3025063542684545,0.6486520458425088,-0.03957752465276852,0.04096463102530195,-0.9661389267322663,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,16,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1358537901879515,0.01164713959450006,0.03868764816226103,0.30105576709265036,0.6613992988699204,-0.037798121631815194,0.04082537598114089,-0.9258487086383694,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,18,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.119836816127614,0.010348643738495701,0.03829531068745243,0.2702326617208113,0.6587601750815661,-0.038163688030719206,0.040371496715546094,-0.9453126868101297,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,20,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.135790721102418,0.011642062578970361,0.038352880886102156,0.3035511885937379,0.6790271359567397,-0.035393130883169095,0.04036449143072425,-0.8768382711798246,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,22,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1366968977077865,0.011714982077051095,0.038591589613561204,0.3035630870446035,0.6853718069056939,-0.03454277017083811,0.040560440014804536,-0.8516369683916155,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,24,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.135946748420284,0.011654622150680333,0.038669733927995775,0.3013887339484051,0.6966666601559305,-0.033048247668708425,0.04061680988447668,-0.8136593632711445,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,26,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1349407533133757,0.011573613275090322,0.03858235875683248,0.29997163594983084,0.7055838642037779,-0.031885350601498066,0.04049430262397503,-0.7874033761633432,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,28,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1614655058063788,0.013685906765497488,0.038732421836216425,0.35334497861687014,0.7282399715415272,-0.028995615896840677,0.040611908168074834,-0.7139683212332838,E,2020-01-03-00:00,2020-02-14-00:00
15m,16,2,30,1.4709305498507752,0.035283506533654294,0.053896029050480104,0.6546587411960731,1.1633612094481525,0.013835018657427818,0.03888516043940252,0.3557917339440556,0.7319136960227973,-0.028535527519210246,0.040739473621589306,-0.7004392787266708,E,2020-01-03-00:00,2020-02-14-00:00
