interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
15m,16,2,2,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1557426814885543,0.033311002733687436,0.04919344308526933,0.6771431443810082,0.7395915506943586,-0.0694230008492665,0.05263159197903005,-1.319036689540507,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,4,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1755111954403497,0.03721414641928681,0.0490239955675698,0.7591006401751675,0.8316334931816941,-0.042429166834546304,0.051839688976204605,-0.8184687769639608,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,6,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.219378544479054,0.04564602068389744,0.0489817350036832,0.9318988124954143,0.9032013632019554,-0.023430366487117674,0.05131288163130458,-0.4566176317181035,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,8,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.229646637086548,0.04757584932763556,0.04887844805674798,0.9733502436984067,0.9327517078497458,-0.016021390985621956,0.05094890111334965,-0.3144599910011411,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,10,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2357433439961076,0.048714079917633206,0.04883127456711172,0.9976000083856618,0.9681584595278878,-0.007447175374381837,0.05067648526512297,-0.14695524631237988,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,12,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2457145368351004,0.05056361350282338,0.04870618804270811,1.0381353075401134,0.985979745103427,-0.0032494359930098013,0.05041642738968138,-0.06445192889004381,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,14,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.27019390069278,0.05504217640760559,0.048902185735272156,1.1255565693028888,1.0156656858875708,0.003577332707954179,0.05054595614693813,0.07077386561953244,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,16,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2032092446299958,0.04257390322001391,0.04866863504158194,0.8747708495140504,0.9703192873994703,-0.006934102316152628,0.05031990515881994,-0.1378003852405361,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,18,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.187264849001222,0.03950382006921184,0.04858672796064394,0.8130578396061284,0.9631768523247699,-0.008634398752515324,0.05018939231097393,-0.17203632789607234,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,20,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1651345805720952,0.03517361857175313,0.048949941353901884,0.7185630380525344,0.9404135342635724,-0.014138703148064962,0.050603786425460325,-0.2794001031699743,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,22,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1676041695344148,0.035660898375007063,0.048982622402651214,0.7280316288879808,0.9520718228867784,-0.01130321754862919,0.050583470492139807,-0.22345674266034402,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,24,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1949425035712942,0.0409872607640474,0.048973391181690244,0.8369291930792689,0.9860318187971792,-0.003237281730710068,0.050529091282905204,-0.06406768157743006,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,26,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1909738968030275,0.040221659002662766,0.049005620174441565,0.8207560451125564,0.9844297115735918,-0.003611515859397715,0.050573775169773835,-0.0714108418300596,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,28,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2058290946585841,0.04307445910045936,0.048927701986158215,0.8803695524601839,1.00351166674817,0.0008067547691867279,0.05047538979059403,0.015983131037396462,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,30,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2250686088792502,0.04671743387894027,0.048797814907248445,0.9573673322819388,1.0299790125872403,0.006797935343849408,0.050285576164938166,0.1351865855439735,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,32,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2070720429567505,0.04331156002716889,0.04953477467875817,0.8743667516013157,1.0148483618918682,0.00339206149207805,0.051045590545298614,0.06645160641383675,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,34,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1873945886795159,0.03952896735748419,0.0494230979203567,0.7998075600437574,0.9966082540148293,-0.0007818988103036005,0.050968979922263784,-0.015340679988026578,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,36,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1874500271814001,0.039539712098788704,0.04941531109768064,0.8001510305303844,0.9983511108099423,-0.00037978643630212926,0.05092165904196904,-0.007458249464910672,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,2,38,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1707153510470945,0.036273307182070696,0.04915574867771237,0.7379260444163943,0.9776087483764747,-0.0052116618838079975,0.050693353886962354,-0.10280759673998147,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,2,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.1755111954403497,0.03721414641928681,0.0490239955675698,0.7591006401751675,0.8316334931816941,-0.042429166834546304,0.051839688976204605,-0.8184687769639608,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,4,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2285572246202368,0.04737186624547188,0.048438013897597984,0.9779894432835328,0.9462983025296464,-0.012703065373512885,0.05035756664734195,-0.2522573313058088,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,6,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2511109611409597,0.05155841917376903,0.04827951663373428,1.0679149827640089,1.0158358383777384,0.003615884168390355,0.04982390611028617,0.07257327758258307,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,8,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2576272556929426,0.05275396441566855,0.04869433124341762,1.0833697284383528,1.0404080063749623,0.009116473369956527,0.05002041811341435,0.18225504131705156,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,10,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2718116422352095,0.05533509867053707,0.048597053461374655,1.1386513117409036,1.074747412144354,0.016589703033537174,0.04987656720554723,0.3326151730765481,F,2020-04-20-00:00,2020-05-07-00:00
15m,16,4,12,1.3002863183057143,0.060430855642945716,0.06684524878278231,0.904041150917389,1.2230096534166233,0.046330317600140745,0.048310547030616,0.9590104117591483,1.0352662264430994,0.007976289595837802,0.0495634307683569,0.16093094186954782,F,2020-04-20-00:00,2020-05-07-00:00
