interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_strategy,ann_log_mean_macd,ann_log_std_macd,sharpe_ratio_macd,multiple_macd_strategy_net,ann_log_mean_macd_net,ann_log_std_macd_net,sharpe_ratio_macd_net,trend_ref,start_opt,end_opt
5m,15,3,3,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9833299985984828,-0.01002587581035585,0.017601435548656962,-0.5696055746498957,0.870749047608782,-0.08254335649696296,0.02123026252834452,-3.8880045118028725,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,6,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.984251070825801,-0.009467492380976609,0.01771540001030104,-0.5344215979019108,0.8895332947371667,-0.06981420707822321,0.020735142743346605,-3.3669508786297055,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,9,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9894251118403433,-0.006340503049076116,0.01784363059940532,-0.3553370494728482,0.9049177071959426,-0.05958760425252899,0.020589758488448004,-2.894040951765459,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,12,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9955640472966905,-0.0026515107325136822,0.01778456399467803,-0.14909056715178048,0.9151894614492326,-0.052855920438626386,0.020533301012010518,-2.574156021367896,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,15,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9951345564681431,-0.0029088581575224316,0.01775169141789707,-0.16386371805617075,0.9186921108003678,-0.05057769161585167,0.020386209305126274,-2.480975784111738,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,18,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.994864117240064,-0.0030709601456409565,0.01738256878306707,-0.1766689482990845,0.9247112555464624,-0.04668287160751667,0.01969620737707515,-2.370145211907745,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,3,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9888717717879533,-0.006674138421869844,0.01771819427202093,-0.37668276571552656,0.899809324670364,-0.06296393112266287,0.02054343356964138,-3.0649176005178385,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,6,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9911192915712201,-0.005320159456010472,0.01777037418309407,-0.29938364837988785,0.9188835616895347,-0.050453416666556235,0.02013892087198125,-2.505269124759845,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,9,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.0015804791870657,0.0009418619504073855,0.017546378360904998,0.05367842474581214,0.9389035373528127,-0.03759889701590136,0.019338458079485123,-1.944255165606379,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,12,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9989884845239715,-0.0006035784348264563,0.017414667174344124,-0.03465920013192491,0.9476881527423568,-0.03204472390734147,0.019046808332486717,-1.682419613194993,ee_macd_simp,2022-09-24-09:00,2022-09-26-21:00
