interval_opt,macd_slow_opt,macd_fast_opt,macd_signal_opt,multiple_hold,ann_log_mean_hold,ann_log_std_hold,sharpe_ratio_hold,multiple_macd_peak_strategy,ann_log_mean_macd_peak,ann_log_std_macd_peak,sharpe_ratio_macd_peak,multiple_macd_peak_strategy_net,ann_log_mean_macd_peak_net,ann_log_std_macd_peak_net,sharpe_ratio_macd_peak_net,trend_ref,start_opt,end_opt
5m,15,3,3,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9808618767515612,-0.011543574677723925,0.019627068381932043,-0.5881456391291995,0.9336625155582023,-0.041004397751806435,0.02045158246431902,-2.0049498772696444,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,6,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9906246541440418,-0.005627075992868033,0.01883860106235579,-0.2986992491768579,0.9445604339683549,-0.0340720086161201,0.019955333649733894,-1.7074136275628973,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,9,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.0017682230455578,0.0010553706653897016,0.01983182478330228,0.05321601400382923,0.9608880485131984,-0.02383394537995583,0.020799309505936496,-1.145900798925714,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,12,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.0043734958300645,0.0026069482161887297,0.019638527664697536,0.1327466223893664,0.9650267088242324,-0.02126647737832638,0.02055899527765687,-1.0344122896627341,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,15,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.0048435611874682,0.0028864683190122434,0.01926860151690898,0.14980165096461465,0.9687676821590188,-0.018955176373842007,0.020157571823053846,-0.9403501840515988,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,3,18,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.0022417990106092,0.0013377100227015381,0.019064602166034537,0.07016721414123187,0.9679039207027019,-0.019488044219322282,0.0199357443776961,-0.9775428421486635,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,3,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9911593803867229,-0.005304704349263272,0.019991867131219664,-0.26534311750098366,0.9482900893800601,-0.03171785607085447,0.02097081795126304,-1.5124758673966818,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,6,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,1.000250968077274,0.00014990483693905804,0.019217924529980456,0.007800261506137285,0.9594327097112358,-0.024739411208406475,0.020327944458250077,-1.2170148958846652,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,9,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9944710112260101,-0.003312079419869842,0.01898896726234385,-0.1744212507247761,0.9587675273365451,-0.02515372411272409,0.020021722151058016,-1.256321705143375,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
5m,15,8,12,0.9865820354818746,-0.008056718274623668,0.026188754617355627,-0.3076403743645136,0.9997790610300497,-0.0001319994008255941,0.017400262617676576,-0.007586057965096375,0.9622472439669807,-0.022989534544510276,0.01858347350263496,-1.2370956668165711,ee_macd_peak,2022-09-24-09:00,2022-09-26-21:00
