Date,Open,High,Low,Close,Volume,macd_diff,macd_macd,macd_signal,sma_fast_ps,sma_slow_ps,position,macd_inv_sign,sma_conf,sma_inv_sign,macd_diff_conf,sl_flag_short,tp_flag_short,sl_flag_long,tp_flag_long,Complete,emg_pos,trades,log_returns_hold,multiple_hold_acum,macd_log_returns,macd_log_returns_net,macd_multiple_acum,macd_multiple_net_acum,ses,macd_simplecret_net_ses,macd_simple_ret,eff_lev,macd_simple_ret_net_lev,macd_simple_ret_net_lev_acum
2022-12-14-04:20,17765.2,17769.8,17734.9,17764.3,1083.934,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,,,,,,,0.0,,,20.0,,
2022-12-14-04:25,17764.3,17769.8,17761.4,17767.0,441.438,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.00015197867824687177,1.0001519902275913,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:30,17767.0,17787.3,17762.0,17764.1,729.392,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.00016323727700188993,0.9999887414646228,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:35,17764.1,17765.5,17759.6,17762.0,458.797,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.00011822294045468775,0.999870526843163,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:40,17762.0,17764.1,17755.7,17761.0,838.067,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-5.6301551122615414e-05,0.9998142341662773,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:45,17761.0,17762.5,17756.1,17761.0,246.086,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0,0.9998142341662773,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:50,17761.0,17776.7,17759.3,17776.7,615.592,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.000883568774648234,1.0006980291933822,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-04:55,17774.0,17799.8,17760.7,17772.0,268.856,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.000264425986175917,1.0004334536120196,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:00,17769.0,17776.8,17749.0,17771.1,1051.04,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-5.064274079606076e-05,1.0003827902028224,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:05,17775.0,17807.3,17700.0,17775.6,274.937,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0002531880610037273,1.000636107248808,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:10,17775.6,17893.1,17775.6,17780.5,1110.62,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0002756207813016721,1.0009119413655478,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:15,17777.1,17780.6,17768.7,17768.7,517.284,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.000663868690905844,1.000247687778297,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:20,17768.8,17771.3,17756.3,17769.9,504.84,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,6.753220444558819e-05,1.0003152389905599,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:25,17771.8,17783.7,17761.5,17780.6,469.082,,,,,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0006019606094483706,1.000917570633236,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:30,17773.9,17782.4,17751.6,17755.1,344.082,,,,17768.64,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.001435176702692271,0.9994821073726518,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:35,17755.5,17791.7,17740.0,17755.3,699.079,,,,17768.039999999997,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,1.1264305668278997e-05,0.9994933659080288,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:40,17755.3,17777.6,17752.3,17775.8,614.579,,,,17768.626666666667,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.001153918807731568,1.000647365784185,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:45,17775.8,17830.4,17752.3,17759.8,555.069,,,,17768.34,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.0009005054695130448,0.9997466829540144,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:50,17758.0,17819.5,17752.3,17803.7,594.908,,,,17771.12,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0024688246262537373,1.002217931469295,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-05:55,17803.7,17891.6,17771.2,17785.4,804.645,,8.480221590496512,,17772.746666666666,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.001028404855018244,1.0011877754822873,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:00,17787.2,17898.0,17771.2,17779.2,746.579,,7.369920544115303,,17773.960000000003,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.0003486613128116061,1.0008387608855962,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:05,17782.1,17831.2,17771.2,17771.2,488.835,,4.561487514740293,,17773.59333333333,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,-0.0004500652670596838,1.0003884194705108,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:10,17771.2,17785.3,17771.2,17780.7,309.585,,4.984607671158301,,17774.173333333332,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,0,0.0005344299587989637,1.0009231999009247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:15,17780.7,17785.3,17762.9,17772.8,354.131,-2.0527126686155297,3.2006291092729953,5.253341777888525,17774.286666666667,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,-0.0004444006992289248,1.0004784877535278,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
2022-12-14-06:20,17774.4,17812.3,17772.1,17783.7,269.677,-0.4234216052148003,4.6182093700663245,5.041630975281125,17774.826666666668,,0.0,0.0,0.0,0.0,-1.0,False,False,False,False,True,False,0,0.0006131087335055858,1.0010920779315815,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0
